combination,attr1_name,attr1_val,attr2_name,attr2_val,attr3_name,attr3_val,attr4_name,attr4_val,attr5_name,attr5_val,pokemon,pokeapi_name_fixed
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,5,coolness,5,beauty,4,Bulbasaur,bulbasaur
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,3,cuteness,5,coolness,5,beauty,2,Ivysaur,ivysaur
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,5,cuteness,3,coolness,4,beauty,2,Gigantamax Venusaur,venusaur-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,4,cuteness,4,coolness,4,beauty,2,Mega Venusaur,venusaur-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,3,cuteness,3,coolness,4,beauty,2,standard Venusaur,venusaur
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,5,coolness,5,beauty,2,Charmander,charmander
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,2,coolness,4,beauty,4,Charmeleon,charmeleon
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,5,cuteness,1,coolness,3,beauty,4,Gigantamax Charizard,charizard-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,5,cuteness,2,coolness,5,beauty,4,Mega Charizard X,charizard-mega-x
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,5,cuteness,2,coolness,5,beauty,4,Mega Charizard Y,charizard-mega-y
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,5,cuteness,2,coolness,5,beauty,4,standard Charizard,charizard
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,5,coolness,5,beauty,4,Squirtle,squirtle
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,3,cuteness,3,coolness,5,beauty,4,Wartortle,wartortle
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,3,cuteness,2,coolness,4,beauty,4,Gigantamax Blastoise,blastoise-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,3,cuteness,2,coolness,5,beauty,2,Mega Blastoise,blastoise-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,1,coolness,5,beauty,4,standard Blastoise,blastoise
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,1,cuteness,5,coolness,1,beauty,2,Caterpie,caterpie
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,2,coolness,2,beauty,2,Metapod,metapod
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,3,cuteness,5,coolness,3,beauty,4,Gigantamax Butterfree,butterfree-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,1,cuteness,4,coolness,3,beauty,4,standard Butterfree,butterfree
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,4,coolness,1,beauty,2,Weedle,weedle
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,1,coolness,2,beauty,4,Kakuna,kakuna
complexity + fantasy + cuteness + coolness -> beauty,complexity,5,fantasy,1,cuteness,1,coolness,5,beauty,4,Mega Beedrill,beedrill-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,2,cuteness,1,coolness,4,beauty,4,standard Beedrill,beedrill
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,2,coolness,2,beauty,4,Pidgey,pidgey
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,2,coolness,4,beauty,4,Pidgeotto,pidgeotto
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,2,cuteness,3,coolness,4,beauty,4,Mega Pidgeot,pidgeot-mega
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,2,coolness,5,beauty,4,standard Pidgeot,pidgeot
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,3,coolness,3,beauty,2,Alolan Rattata,rattata-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,3,coolness,3,beauty,2,standard Rattata,rattata
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,1,cuteness,1,coolness,1,beauty,2,Alolan Raticate,raticate-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,1,coolness,2,beauty,2,standard Raticate,raticate
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,2,coolness,3,beauty,2,Spearow,spearow
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,1,coolness,3,beauty,2,Fearow,fearow
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,1,cuteness,1,coolness,3,beauty,4,Ekans,ekans
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,1,coolness,5,beauty,4,Arbok,arbok
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,5,cuteness,5,coolness,4,beauty,2,Gigantamax Pikachu,pikachu-gmax
complexity + fantasy + cuteness + coolness -> beauty,complexity,1,fantasy,3,cuteness,4,coolness,4,beauty,4,standard Pikachu,pikachu
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,4,cuteness,5,coolness,4,beauty,4,Alolan Raichu,raichu-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,2,cuteness,5,coolness,5,beauty,4,standard Raichu,raichu
complexity + fantasy + cuteness + coolness -> beauty,complexity,3,fantasy,3,cuteness,5,coolness,4,beauty,4,Alolan Sandshrew,sandshrew-alola
complexity + fantasy + cuteness + coolness -> beauty,complexity,2,fantasy,1,cuteness,5,coolness,4,beauty,4,standard Sandshrew,sandshrew
complexity + fantasy + cuteness + coolness -> beauty,complexity,4,fantasy,3,cuteness,4,coolness,5,beauty,4,Alolan Sandslash,sandslash-alola
